Designator,Mid X,Mid Y,Rotation,Layer
C1,75.4,-65.2,0.0,top
C2,89.0,-66.0,0.0,top
C3,72.5,-71.4,180.0,top
C4,61.7,-64.0,180.0,top
C5,61.75,-88.75,180.0,top
C6,122.25,-65.75,0.0,top
C7,68.9,-70.375,90.0,top
J1,112.5,-58.7725,180.0,top
J10,104.5,-95.5,0.0,top
J11,117.0,-94.75,90.0,top
J2,75.344,-56.277,180.0,top
J3,94.644,-56.207,180.0,top
J4,107.2,-79.9,270.0,top
J5,117.301,-79.78,90.0,top
J6,85.4,-95.5,0.0,top
J7,106.5,-104.0,0.0,top
J8,66.8,-95.5,0.0,top
J9,85.4,-104.0,0.0,top
R1,75.4,-67.6,180.0,top
R19,102.9,-66.0,90.0,top
R20,78.9,-66.4,90.0,top
SW1,69.8,-66.0,0.0,top
SW2,83.32,-66.0,0.0,top
SW3,61.7,-76.2,270.0,top
U1,85.4,-79.55,0.0,top
U2,70.25,-84.5,90.0,top
U3,69.9,-75.605,90.0,top
